escala,motor,clase,nombre_consulta,regimen,repeticion,tiempo
5,estrella,agregacion_simple,consulta3,caliente,4,0.003695800001878524
5,estrella,agregacion_simple,consulta3,caliente,5,0.004014300000562798
5,estrella,alta_selectividad,consulta1,frio,0,0.0007882999998400919
5,estrella,alta_selectividad,consulta1,caliente,1,0.0006521000032080337
5,estrella,alta_selectividad,consulta1,caliente,2,0.0006667999987257645
5,estrella,alta_selectividad,consulta1,caliente,3,0.0007248000001709443
5,estrella,alta_selectividad,consulta1,caliente,4,0.000625100001343526
5,estrella,alta_selectividad,consulta1,caliente,5,0.0006130000001576263
5,estrella,alta_selectividad,consulta2,frio,0,0.0005133999984536786
5,estrella,alta_selectividad,consulta2,caliente,1,0.0004259999986970797
5,estrella,alta_selectividad,consulta2,caliente,2,0.0004918000013276469
5,estrella,alta_selectividad,consulta2,caliente,3,0.00041260000216425397
5,estrella,alta_selectividad,consulta2,caliente,4,0.00042329999996582046
5,estrella,alta_selectividad,consulta2,caliente,5,0.0004576999999699183
5,estrella,alta_selectividad,consulta3,frio,0,0.0010332999991078395
5,estrella,alta_selectividad,consulta3,caliente,1,0.0009475000006204937
5,estrella,alta_selectividad,consulta3,caliente,2,0.001094100000045728
5,estrella,alta_selectividad,consulta3,caliente,3,0.0009289000008720905
5,estrella,alta_selectividad,consulta3,caliente,4,0.0008935999976529274
5,estrella,alta_selectividad,consulta3,caliente,5,0.0009065000012924429
5,estrella,alta_selectividad_join,consulta1,frio,0,0.0027432000024418812
5,estrella,alta_selectividad_join,consulta1,caliente,1,0.0015120000025490299
5,estrella,alta_selectividad_join,consulta1,caliente,2,0.001192399999126792
5,estrella,alta_selectividad_join,consulta1,caliente,3,0.0010629999997036066
5,estrella,alta_selectividad_join,consulta1,caliente,4,0.0009926999991876073
5,estrella,alta_selectividad_join,consulta1,caliente,5,0.000990500000625616
5,estrella,alta_selectividad_join,consulta2,frio,0,0.0015187999997579027
5,estrella,alta_selectividad_join,consulta2,caliente,1,0.0013552000018535182
5,estrella,alta_selectividad_join,consulta2,caliente,2,0.001291799999307841
5,estrella,alta_selectividad_join,consulta2,caliente,3,0.0013858999991498422
5,estrella,alta_selectividad_join,consulta2,caliente,4,0.001306599999225
5,estrella,alta_selectividad_join,consulta2,caliente,5,0.0012538000009953976
5,estrella,alta_selectividad_join,consulta3,frio,0,0.0014503999991575256
5,estrella,alta_selectividad_join,consulta3,caliente,1,0.001026800000545336
5,estrella,alta_selectividad_join,consulta3,caliente,2,0.0009391999992658384
5,estrella,alta_selectividad_join,consulta3,caliente,3,0.0009821999992709607
5,estrella,alta_selectividad_join,consulta3,caliente,4,0.0009731999998621177
5,estrella,alta_selectividad_join,consulta3,caliente,5,0.0009205999995174352
5,estrella,joins_agregacion,consulta1,frio,0,0.02042029999938677
5,estrella,joins_agregacion,consulta1,caliente,1,0.011875700001837686
5,estrella,joins_agregacion,consulta1,caliente,2,0.013034999999945285
5,estrella,joins_agregacion,consulta1,caliente,3,0.011923600002774037
5,estrella,joins_agregacion,consulta1,caliente,4,0.009067099999811035
5,estrella,joins_agregacion,consulta1,caliente,5,0.01095319999876665
5,estrella,joins_agregacion,consulta2,frio,0,0.021183400000154506
5,estrella,joins_agregacion,consulta2,caliente,1,0.022546399999555433
5,estrella,joins_agregacion,consulta2,caliente,2,0.019095399999059737
5,estrella,joins_agregacion,consulta2,caliente,3,0.023550599998998223
5,estrella,joins_agregacion,consulta2,caliente,4,0.020274400001653703
5,estrella,joins_agregacion,consulta2,caliente,5,0.0178051000002597
5,estrella,joins_agregacion,consulta3,frio,0,0.006784099998185411
5,estrella,joins_agregacion,consulta3,caliente,1,0.006156499999633525
5,estrella,joins_agregacion,consulta3,caliente,2,0.004579000000376254
5,estrella,joins_agregacion,consulta3,caliente,3,0.005369299997255439
5,estrella,joins_agregacion,consulta3,caliente,4,0.005382100000133505
5,estrella,joins_agregacion,consulta3,caliente,5,0.004192799999145791
5,oltp,agregacion_simple,consulta_1,frio,0,0.06730299999981071
5,oltp,agregacion_simple,consulta_1,caliente,1,0.003033199998753844
5,oltp,agregacion_simple,consulta_1,caliente,2,0.0024333999972441234
5,oltp,agregacion_simple,consulta_1,caliente,3,0.0028232000004209112
